"id","name","code","state_id/id","regiune"
"245","Valea Poienii","Valea","l10n_ro.RO_AB","Centru"
"246","Valea Sesii","Valea","l10n_ro.RO_AB","Centru"
"247","Valeni","Valen","l10n_ro.RO_AB","Centru"
"248","Valcea","Valce","l10n_ro.RO_AB","Centru"
"249","Cenade","Cenad","l10n_ro.RO_AB","Centru"
"250","Capu Dealului","Capu ","l10n_ro.RO_AB","Centru"
"251","Gorgan","Gorga","l10n_ro.RO_AB","Centru"
"252","Cergau Mare","Cerga","l10n_ro.RO_AB","Centru"
"253","Cergau Mic","Cerga","l10n_ro.RO_AB","Centru"
"254","Lupu","Lupu","l10n_ro.RO_AB","Centru"
"255","Ceru-Bacainti","Ceru-","l10n_ro.RO_AB","Centru"
"256","Bolovanesti","Bolov","l10n_ro.RO_AB","Centru"
"257","Bulbuc","Bulbu","l10n_ro.RO_AB","Centru"
"258","Cucuta","Cucut","l10n_ro.RO_AB","Centru"
"259","Curpeni","Curpe","l10n_ro.RO_AB","Centru"
"260","Dumbravita","Dumbr","l10n_ro.RO_AB","Centru"
"261","Fantanele","Fanta","l10n_ro.RO_AB","Centru"
"262","Grosi","Grosi","l10n_ro.RO_AB","Centru"
"263","Valea Mare","Valea","l10n_ro.RO_AB","Centru"
"264","Viezuri","Viezu","l10n_ro.RO_AB","Centru"
"265","Cetatea de Balta","Cetat","l10n_ro.RO_AB","Centru"
"266","Craciunelu de Sus","Craci","l10n_ro.RO_AB","Centru"
"267","Santamarie","Santa","l10n_ro.RO_AB","Centru"
"268","Tatarlaua","Tatar","l10n_ro.RO_AB","Centru"
"269","Ciuruleasa","Ciuru","l10n_ro.RO_AB","Centru"
"270","Bidigesti","Bidig","l10n_ro.RO_AB","Centru"
"271","Bodresti","Bodre","l10n_ro.RO_AB","Centru"
"272","Boglesti","Bogle","l10n_ro.RO_AB","Centru"
"273","Buninginea","Bunin","l10n_ro.RO_AB","Centru"
"274","Ghedulesti","Ghedu","l10n_ro.RO_AB","Centru"
"275","Matisesti","Matis","l10n_ro.RO_AB","Centru"
"276","Moraresti","Morar","l10n_ro.RO_AB","Centru"
"277","Vulcan","Vulca","l10n_ro.RO_AB","Centru"
"278","Calnic","Calni","l10n_ro.RO_AB","Centru"
"279","Cut","Cut","l10n_ro.RO_AB","Centru"
"280","Deal","Deal","l10n_ro.RO_AB","Centru"
"281","Cricau","Crica","l10n_ro.RO_AB","Centru"
"282","Craiva","Craiv","l10n_ro.RO_AB","Centru"
"283","Tibru","Tibru","l10n_ro.RO_AB","Centru"
"284","Craciunelu de Jos","Craci","l10n_ro.RO_AB","Centru"
"285","Bucerdea Granoasa","Bucer","l10n_ro.RO_AB","Centru"
"286","Cornu","Cornu","l10n_ro.RO_AB","Centru"
"287","Padure","Padur","l10n_ro.RO_AB","Centru"
"288","Panca","Panca","l10n_ro.RO_AB","Centru"
"289","Daia Romana","Daia ","l10n_ro.RO_AB","Centru"
"290","Dostat","Dosta","l10n_ro.RO_AB","Centru"
"291","Boz","Boz","l10n_ro.RO_AB","Centru"
"292","Dealu Dostatului","Dealu","l10n_ro.RO_AB","Centru"
"293","Farau","Farau","l10n_ro.RO_AB","Centru"
"294","Heria","Heria","l10n_ro.RO_AB","Centru"
"295","Medves","Medve","l10n_ro.RO_AB","Centru"
"296","Sanbenedic","Sanbe","l10n_ro.RO_AB","Centru"
"297","Silea","Silea","l10n_ro.RO_AB","Centru"
"298","Galda de Jos","Galda","l10n_ro.RO_AB","Centru"
"299","Benic","Benic","l10n_ro.RO_AB","Centru"
"300","Cetea","Cetea","l10n_ro.RO_AB","Centru"
"301","Galda de Sus","Galda","l10n_ro.RO_AB","Centru"
"302","Lupseni","Lupse","l10n_ro.RO_AB","Centru"
"303","Magura","Magur","l10n_ro.RO_AB","Centru"
"304","Mesentea","Mesen","l10n_ro.RO_AB","Centru"
"305","Oiejdea","Oiejd","l10n_ro.RO_AB","Centru"
"306","Poiana Galdei","Poian","l10n_ro.RO_AB","Centru"
"307","Raicani","Raica","l10n_ro.RO_AB","Centru"
"308","Zagris","Zagri","l10n_ro.RO_AB","Centru"
"309","Garbova","Garbo","l10n_ro.RO_AB","Centru"
"310","Carpinis","Carpi","l10n_ro.RO_AB","Centru"
"311","Reciu","Reciu","l10n_ro.RO_AB","Centru"
"312","Garda de Sus","Garda","l10n_ro.RO_AB","Centru"
"313","Biharia","Bihar","l10n_ro.RO_AB","Centru"
"314","Dealu Frumos","Dealu","l10n_ro.RO_AB","Centru"
"315","Dealu Ordancusii","Dealu","l10n_ro.RO_AB","Centru"
"316","Dobresti","Dobre","l10n_ro.RO_AB","Centru"
"317","Ghetari","Gheta","l10n_ro.RO_AB","Centru"
"318","Garda Seaca","Garda","l10n_ro.RO_AB","Centru"
"319","Hanasesti","Hanas","l10n_ro.RO_AB","Centru"
"320","Huzaresti","Huzar","l10n_ro.RO_AB","Centru"
"321","Izvoarele","Izvoa","l10n_ro.RO_AB","Centru"
"322","Mununa","Munun","l10n_ro.RO_AB","Centru"
"323","Ocoale","Ocoal","l10n_ro.RO_AB","Centru"
"324","Plai","Plai","l10n_ro.RO_AB","Centru"
"325","Plisti","Plist","l10n_ro.RO_AB","Centru"
"326","Scoarta","Scoar","l10n_ro.RO_AB","Centru"
"327","Sucesti","Suces","l10n_ro.RO_AB","Centru"
"328","Snide","Snide","l10n_ro.RO_AB","Centru"
"329","Hoparta","Hopar","l10n_ro.RO_AB","Centru"
"330","Silivas","Siliv","l10n_ro.RO_AB","Centru"
"331","Spalnaca","Spaln","l10n_ro.RO_AB","Centru"
"332","Turdas","Turda","l10n_ro.RO_AB","Centru"
"333","Vama Seaca","Vama ","l10n_ro.RO_AB","Centru"
"334","Horea","Horea","l10n_ro.RO_AB","Centru"
"335","Baba","Baba","l10n_ro.RO_AB","Centru"
"336","Butesti","Butes","l10n_ro.RO_AB","Centru"
"337","Darlesti","Darle","l10n_ro.RO_AB","Centru"
"338","Fericet","Feric","l10n_ro.RO_AB","Centru"
"339","Giurgiut","Giurg","l10n_ro.RO_AB","Centru"
"340","Mancesti","Mance","l10n_ro.RO_AB","Centru"
"341","Matisesti","Matis","l10n_ro.RO_AB","Centru"
"342","Niculesti","Nicul","l10n_ro.RO_AB","Centru"
"343","Patrusesti","Patru","l10n_ro.RO_AB","Centru"
"344","Petreasa","Petre","l10n_ro.RO_AB","Centru"
"345","Preluca","Prelu","l10n_ro.RO_AB","Centru"
"346","Teiu","Teiu","l10n_ro.RO_AB","Centru"
"347","Trifesti","Trife","l10n_ro.RO_AB","Centru"
"348","Zanzesti","Zanze","l10n_ro.RO_AB","Centru"
"349","Ighiu","Ighiu","l10n_ro.RO_AB","Centru"
"350","Bucerdea Vanoasa","Bucer","l10n_ro.RO_AB","Centru"
"351","Ighiel","Ighie","l10n_ro.RO_AB","Centru"
"352","Sard","Sard","l10n_ro.RO_AB","Centru"
"353","Telna","Telna","l10n_ro.RO_AB","Centru"
"354","Intregalde","Intre","l10n_ro.RO_AB","Centru"
"355","Dealu Geoagiului","Dealu","l10n_ro.RO_AB","Centru"
"356","Ghioncani","Ghion","l10n_ro.RO_AB","Centru"
"357","Iliesti","Ilies","l10n_ro.RO_AB","Centru"
"358","Ivanis","Ivani","l10n_ro.RO_AB","Centru"
"359","Marinesti","Marin","l10n_ro.RO_AB","Centru"
"360","Modolesti","Modol","l10n_ro.RO_AB","Centru"
"361","Necrilesti","Necri","l10n_ro.RO_AB","Centru"
"362","Popesti","Popes","l10n_ro.RO_AB","Centru"
"363","Sfarcea","Sfarc","l10n_ro.RO_AB","Centru"
"364","Tecsesti","Tecse","l10n_ro.RO_AB","Centru"
"365","Jidvei","Jidve","l10n_ro.RO_AB","Centru"
"366","Balcaciu","Balca","l10n_ro.RO_AB","Centru"
"367","Capalna de Jos","Capal","l10n_ro.RO_AB","Centru"
"368","Feisa","Feisa","l10n_ro.RO_AB","Centru"
"369","Veseus","Veseu","l10n_ro.RO_AB","Centru"
"370","Livezile","Livez","l10n_ro.RO_AB","Centru"
"371","Izvoarele","Izvoa","l10n_ro.RO_AB","Centru"
"372","Poiana Aiudului","Poian","l10n_ro.RO_AB","Centru"
"373","Valisoara","Valis","l10n_ro.RO_AB","Centru"
"374","Lopadea Noua","Lopad","l10n_ro.RO_AB","Centru"
"375","Asinip","Asini","l10n_ro.RO_AB","Centru"
"376","Beta","Beta","l10n_ro.RO_AB","Centru"
"377","Bagau","Bagau","l10n_ro.RO_AB","Centru"
"378","Cicard","Cicar","l10n_ro.RO_AB","Centru"
"379","Ciuguzel","Ciugu","l10n_ro.RO_AB","Centru"
"380","Ocnisoara","Ocnis","l10n_ro.RO_AB","Centru"
"381","Odverem","Odver","l10n_ro.RO_AB","Centru"
"382","Lunca Muresului","Lunca","l10n_ro.RO_AB","Centru"
"383","Gura Ariesului","Gura ","l10n_ro.RO_AB","Centru"
"384","Lupsa","Lupsa","l10n_ro.RO_AB","Centru"
"385","Bardesti","Barde","l10n_ro.RO_AB","Centru"
"386","Barzan","Barza","l10n_ro.RO_AB","Centru"
"387","Curmatura","Curma","l10n_ro.RO_AB","Centru"
"388","Dupa Deal","Dupa ","l10n_ro.RO_AB","Centru"
"389","Geamana","Geama","l10n_ro.RO_AB","Centru"
"390","Hadarau","Hadar","l10n_ro.RO_AB","Centru"
"391","Holobani","Holob","l10n_ro.RO_AB","Centru"
"392","Lazuri","Lazur","l10n_ro.RO_AB","Centru"
"393","Lunca","Lunca","l10n_ro.RO_AB","Centru"
"394","Manastire","Manas","l10n_ro.RO_AB","Centru"
"395","Margaia","Marga","l10n_ro.RO_AB","Centru"
"396","Musca","Musca","l10n_ro.RO_AB","Centru"
"397","Pitiga","Pitig","l10n_ro.RO_AB","Centru"
"398","Parau-Carbunari","Parau","l10n_ro.RO_AB","Centru"
"399","Posogani","Posog","l10n_ro.RO_AB","Centru"
"400","Sasa","Sasa","l10n_ro.RO_AB","Centru"
"401","Trifesti","Trife","l10n_ro.RO_AB","Centru"
"402","Valea Holhorii","Valea","l10n_ro.RO_AB","Centru"
"403","Valea Lupsii","Valea","l10n_ro.RO_AB","Centru"
"404","Valea Sesii","Valea","l10n_ro.RO_AB","Centru"
"405","Vai","Vai","l10n_ro.RO_AB","Centru"
"406","Vinta","Vinta","l10n_ro.RO_AB","Centru"
"407","Metes","Metes","l10n_ro.RO_AB","Centru"
"408","Ampoita","Ampoi","l10n_ro.RO_AB","Centru"
"409","Isca","Isca","l10n_ro.RO_AB","Centru"
"410","Lunca Ampoitei","Lunca","l10n_ro.RO_AB","Centru"
"411","Lunca Metesului","Lunca","l10n_ro.RO_AB","Centru"
"412","Padurea","Padur","l10n_ro.RO_AB","Centru"
"413","Poiana Ampoiului","Poian","l10n_ro.RO_AB","Centru"
"414","Poiana Ursului","Poian","l10n_ro.RO_AB","Centru"
"415","Presaca Ampoiului","Presa","l10n_ro.RO_AB","Centru"
"416","Remetea","Remet","l10n_ro.RO_AB","Centru"
"417","Tauti","Tauti","l10n_ro.RO_AB","Centru"
"418","Valeni","Valen","l10n_ro.RO_AB","Centru"
"419","Mihalt","Mihal","l10n_ro.RO_AB","Centru"
"420","Cistei","Ciste","l10n_ro.RO_AB","Centru"
"421","Obreja","Obrej","l10n_ro.RO_AB","Centru"
"422","Zaries","Zarie","l10n_ro.RO_AB","Centru"
"423","Miraslau","Miras","l10n_ro.RO_AB","Centru"
"424","Cicau","Cicau","l10n_ro.RO_AB","Centru"
"425","Decea","Decea","l10n_ro.RO_AB","Centru"
"426","Lopadea Veche","Lopad","l10n_ro.RO_AB","Centru"
"427","Ormenis","Ormen","l10n_ro.RO_AB","Centru"
"428","Rachis","Rachi","l10n_ro.RO_AB","Centru"
"429","Mogos","Mogos","l10n_ro.RO_AB","Centru"
"430","Barbesti","Barbe","l10n_ro.RO_AB","Centru"
"431","Barlesti","Barle","l10n_ro.RO_AB","Centru"
"432","Barlesti-Catun","Barle","l10n_ro.RO_AB","Centru"
"433","Barzogani","Barzo","l10n_ro.RO_AB","Centru"
"434","Bocesti","Boces","l10n_ro.RO_AB","Centru"
"435","Bogdanesti","Bogda","l10n_ro.RO_AB","Centru"
"436","Butesti","Butes","l10n_ro.RO_AB","Centru"
